shelfmark,iiif_url,url,orig_shelfmark
JRL SERIES Bible Gaster 15,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-15.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+15%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 15
JRL SERIES Bible Gaster 54,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-54.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+54%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 54
JRL SERIES Bible Gaster 49,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-49.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+49%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 49
JRL SERIES Bible Gaster 32,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-32.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+32%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 32
JRL SERIES Bible Gaster 3,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-3.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+3%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 3
JRL SERIES Bible Gaster 65,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-65.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+65%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 65
JRL SERIES Bible Gaster 73,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-73.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+73%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 73
JRL SERIES Bible Gaster 24,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-24.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+24%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 24
JRL SERIES Bible Gaster 53,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-53.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+53%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 53
JRL SERIES Bible Gaster 12,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-12.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+12%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 12
JRL SERIES Bible Gaster 45,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-45.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+45%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 45
JRL SERIES Bible Gaster 69,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-69.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+69%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 69
JRL SERIES Bible Gaster 28,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-28.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+28%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 28
JRL SERIES Bible Gaster 29,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-29.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+29%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 29
JRL SERIES Bible Gaster 68,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-68.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+68%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 68
JRL SERIES Bible Gaster 44,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-44.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+44%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 44
JRL SERIES Bible Gaster 13,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-13.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+13%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 13
JRL SERIES Bible Gaster 52,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-52.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+52%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 52
JRL SERIES Bible Gaster 25,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-25.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+25%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 25
JRL SERIES Bible Gaster 72,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-72.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+72%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 72
JRL SERIES Bible Gaster 64,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-64.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+64%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 64
JRL SERIES Bible Gaster 2,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-2.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+2%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 2
JRL SERIES Bible Gaster 33,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-33.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+33%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 33
JRL SERIES Bible Gaster 48,https://princetongenizalab.github.io/iiif/jrl/bible/bible-gaster-48.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Bible+Gaster+48%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Bible Gaster 48
JRL SERIES Rylands Genizah 51,https://princetongenizalab.github.io/iiif/jrl/rylands/rylands-genizah-51.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Rylands+Genizah+51%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Rylands Genizah 51
JRL SERIES Rylands Genizah 10,https://princetongenizalab.github.io/iiif/jrl/rylands/rylands-genizah-10.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Rylands+Genizah+10%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Rylands Genizah 10
JRL SERIES Rylands Genizah 47,https://princetongenizalab.github.io/iiif/jrl/rylands/rylands-genizah-47.json,https://luna.manchester.ac.uk/luna/servlet/view/search?q=reference_number%3D%22Rylands+Genizah+47%22+LIMIT%3AManchesterDev~95~&sort=reference_number%2Cdate_created,JRL SERIES Rylands Genizah 47
